name              ; precision;    recall;   f-score;   support
Chechin;1.0;1.0;0.99999999995;1
Chekhov;1.0;1.0;0.99999999995;10
Cherkasova;1.0;0.6666666666666666;0.799999999952;6
Convlab;1.0;1.0;0.99999999995;3
Derevyanko;1.0;1.0;0.99999999995;1
DoctorPiter;1.0;1.0;0.99999999995;1
Dombrowski;1.0;1.0;0.99999999995;8
Doronina;1.0;1.0;0.99999999995;1
Dostoevsky;1.0;1.0;0.99999999995;14
Dovlatov;1.0;1.0;0.99999999995;7
Dragunski;1.0;1.0;0.99999999995;4
Drobyshevsky Rupasova;1.0;1.0;0.99999999995;1
Drobyshevsky;1.0;1.0;0.99999999995;4
Dubchak;1.0;1.0;0.99999999995;1
EdimDoma;1.0;1.0;0.99999999995;1
Efremov;1.0;1.0;0.99999999995;9
Epstein;1.0;1.0;0.99999999995;3
Exler;1.0;1.0;0.99999999995;5
Fadeev;1.0;1.0;0.99999999995;4
Furmanov;1.0;1.0;0.99999999995;5
Gachev;1.0;1.0;0.99999999995;3
Gasymov;1.0;1.0;0.99999999995;2
Gaydar;1.0;1.0;0.99999999995;4
GazetaRu;0.0;0.0;0.0;1
Gelb;1.0;1.0;0.99999999995;4
Gorelov;1.0;1.0;0.99999999995;1
GorVestnik;1.0;1.0;0.99999999995;1
Granin;1.0;0.8333333333333334;0.9090909090413223;6
Grekova;1.0;1.0;0.99999999995;8
Grin;1.0;1.0;0.99999999995;8
Gusev;1.0;1.0;0.99999999995;2
Gusiatnikova;1.0;1.0;0.99999999995;1
Hoffman;1.0;0.8;0.8888888888395062;5
Kassil;1.0;1.0;0.99999999995;9
Kataev;1.0;1.0;0.99999999995;9
Kaverin;1.0;1.0;0.99999999995;13
Kirsanova Anodina Aksenov;1.0;1.0;0.99999999995;1
Knabe;1.0;1.0;0.99999999995;2
Koni;1.0;1.0;0.99999999995;1
Kozlov;1.0;1.0;0.99999999995;5
Krapivin;1.0;1.0;0.99999999995;14
Kuprin;1.0;1.0;0.99999999995;9
Lermontov;1.0;1.0;0.99999999995;3
Losev;1.0;1.0;0.99999999995;10
Lubimova;1.0;1.0;0.99999999995;1
Lukyanenko;1.0;1.0;0.99999999995;8
Lungu;1.0;1.0;0.99999999995;1
Makushinskiyi;1.0;1.0;0.99999999995;6
Malevish;1.0;1.0;0.99999999995;3
Mamin-Sibiryak;1.0;1.0;0.99999999995;10
Mamina;1.0;1.0;0.99999999995;1
Marchik;1.0;1.0;0.99999999995;1
Marinina;1.0;1.0;0.99999999995;10
Mikhalkov;1.0;1.0;0.99999999995;2
Moshkov;1.0;1.0;0.99999999995;5
NakedScience;1.0;1.0;0.99999999995;1
nlobooks[ru];1.0;1.0;0.99999999995;1
Nosov;1.0;1.0;0.99999999995;5
Oseeva;1.0;1.0;0.99999999995;5
Oster;1.0;1.0;0.99999999995;2
Plevako;1.0;1.0;0.99999999995;1
Preobrazhensky;1.0;1.0;0.99999999995;4
Prokofeva;1.0;1.0;0.99999999995;4
Pushkin;1.0;1.0;0.99999999995;2
