,author_id,z_score,features,feature_stats,feature_names,author
89,89,"[np.float64(3.741587049374893), np.float64(2.672416279646318), np.float64(2.4063367877734936), np.float64(2.240699287330963), np.float64(2.2001046052439173)]","[np.int64(1713), np.int64(1782), np.int64(572), np.int64(396), np.int64(349)]","[np.float64(0.010107936214472165), np.float64(0.0006401193157673834), np.float64(0.0008550018896532007), np.float64(0.0004971975172527797), np.float64(0.0008550018896532007)]","[np.str_('(ADJ, <-, CCONJ, fixed)'), np.str_('(DET, <-, ADV, nsubj)'), np.str_('(ADV, ->, PROPN, orphan)'), np.str_('(VERB, ->, AUX, cop)'), np.str_('(PRON, <-, NUM, conj)')]",Rybakov
90,90,"[np.float64(7.5832227496998295), np.float64(7.009827010596503), np.float64(6.860091068382457), np.float64(5.720998958744074), np.float64(5.008167739782028)]","[np.int64(1367), np.int64(380), np.int64(694), np.int64(1593), np.int64(1462)]","[np.float64(0.0030338227260049565), np.float64(0.0030338227260049565), np.float64(0.003962118535886415), np.float64(0.0030338227260049565), np.float64(0.06333347423768852)]","[np.str_('(PART, <-, DET, advmod)'), np.str_('(ADV, ->, ADV, ccomp)'), np.str_('(PRON, ->, ADP, case)'), np.str_('(ADP, ->, PRON, iobj)'), np.str_('(ADJ, ->, PRON, conj)')]",Salnikov
91,91,"[np.float64(4.551048160078711), np.float64(2.92567149318713), np.float64(2.914838343231331), np.float64(2.7353293488039725), np.float64(2.69574314182733)]","[np.int64(106), np.int64(192), np.int64(1530), np.int64(741), np.int64(1853)]","[np.float64(0.0011776423468166236), np.float64(0.0019618495940723567), np.float64(0.006976584219363141), np.float64(0.0009711687719723131), np.float64(0.0016572932049699418)]","[np.str_('(PART, <-, ADP, fixed)'), np.str_('(X, ->, DET, det)'), np.str_('(VERB, ->, NOUN, cc)'), np.str_('(PROPN, <-, NOUN, punct)'), np.str_('(PUNCT, <-, PROPN, PAD)')]",SaltykovSchedrin
92,92,"[np.float64(24.474510721194733), np.float64(22.185044957037427), np.float64(21.703015226151006), np.float64(17.279955738179776), np.float64(14.315032532105851)]","[np.int64(97), np.int64(932), np.int64(216), np.int64(332), np.int64(938)]","[np.float64(0.003837041820960443), np.float64(0.003837041820960443), np.float64(0.003837041820960443), np.float64(0.015348167283841772), np.float64(0.06906675277728798)]","[np.str_('(PRON, <-, VERB, iobj)'), np.str_('(ADV, ->, PART, obl)'), np.str_('(DET, ->, ADV, conj)'), np.str_('(ADV, ->, NUM, conj)'), np.str_('(PROPN, ->, PROPN, nmod)')]",Semihatov
93,93,"[np.float64(4.078119250454241), np.float64(4.010257488281748), np.float64(3.553369979415931), np.float64(3.4060118929318235), np.float64(3.232810597956674)]","[np.int64(1471), np.int64(1235), np.int64(132), np.int64(100), np.int64(1979)]","[np.float64(0.0008671284639545616), np.float64(0.0015584392767765958), np.float64(0.06070513540469949), np.float64(0.031030147670918804), np.float64(0.020075489791353325)]","[np.str_('(PRON, ->, NOUN, case)'), np.str_('(NOUN, ->, ADP, case)'), np.str_('(PROPN, <-, NUM, nsubj)'), np.str_('(ADJ, <-, NUM, advcl)'), np.str_('(X, ->, X, xcomp)')]",Serafimovich
94,94,"[np.float64(6.118627680298683), np.float64(4.293011838246559), np.float64(4.2747653504314105), np.float64(3.7711828671636245), np.float64(3.706719132252527)]","[np.int64(979), np.int64(1604), np.int64(1526), np.int64(528), np.int64(1364)]","[np.float64(0.0008769638557205228), np.float64(0.0008769638557205228), np.float64(0.000921568467171246), np.float64(0.0008769638557205228), np.float64(0.003552954050034158)]","[np.str_('(X, ->, PUNCT, punct)'), np.str_('(INTJ, ->, X, conj)'), np.str_('(INTJ, ->, NOUN, orphan)'), np.str_('(VERB, <-, NOUN, discourse)'), np.str_('(PART, ->, INTJ, parataxis)')]",Sergeev-Tsenskij
95,95,"[np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.237255360597368), np.float64(9.709163846812727), np.float64(8.705046042668268)]","[np.int64(616), np.int64(373), np.int64(465), np.int64(1616), np.int64(1147)]","[np.float64(0.0016454928728207373), np.float64(0.0016454928728207373), np.float64(0.0032128105338388667), np.float64(0.0032128105338388667), np.float64(0.0032128105338388667)]","[np.str_('(PUNCT, <-, PROPN, punct)'), np.str_('(NOUN, ->, CCONJ, parataxis)'), np.str_('(AUX, ->, PART, cc)'), np.str_('(NOUN, ->, PRON, amod)'), np.str_('(DET, <-, NOUN, advmod)')]",Shevtsov
96,96,"[np.float64(12.23725536059737), np.float64(12.23725536059737), np.float64(12.237255360597368), np.float64(11.298168800293043), np.float64(7.829581422478047)]","[np.int64(1235), np.int64(552), np.int64(728), np.int64(1160), np.int64(1287)]","[np.float64(0.0009363009636870124), np.float64(0.0009363009636870124), np.float64(0.0007455148372528261), np.float64(0.0018726019273740248), np.float64(0.0009363009636870124)]","[np.str_('(NOUN, ->, ADP, case)'), np.str_('(PRON, <-, ADV, nmod)'), np.str_('(INTJ, <-, NOUN, obl)'), np.str_('(PROPN, <-, NOUN, nsubj)'), np.str_('(ADJ, ->, PRON, amod)')]",Shukshin
97,97,"[np.float64(7.817944031881955), np.float64(6.886580183077769), np.float64(6.672963698725845), np.float64(4.881962053227535), np.float64(4.861727201755159)]","[np.int64(504), np.int64(536), np.int64(274), np.int64(390), np.int64(88)]","[np.float64(0.013295745028350915), np.float64(0.013295745028350915), np.float64(0.013295745028350915), np.float64(0.013295745028350915), np.float64(0.06647872514175458)]","[np.str_('(DET, ->, PRON, acl:relcl)'), np.str_('(PROPN, <-, VERB, parataxis)'), np.str_('(ADV, ->, NOUN, obj)'), np.str_('(NOUN, ->, VERB, nmod)'), np.str_('(ADJ, <-, ADJ, nsubj)')]",ShushpanovLouk
98,98,"[np.float64(10.159803953660404), np.float64(9.899566726409072), np.float64(9.295438104308815), np.float64(8.12773259766076), np.float64(7.347016014702846)]","[np.int64(480), np.int64(86), np.int64(342), np.int64(520), np.int64(504)]","[np.float64(0.011588836186115625), np.float64(0.011588836186115625), np.float64(0.011588836186115625), np.float64(0.011588836186115625), np.float64(0.006796747417227617)]","[np.str_('(DET, ->, ADJ, parataxis)'), np.str_('(NOUN, <-, VERB, nmod)'), np.str_('(ADV, <-, ADJ, ccomp)'), np.str_('(ADV, ->, VERB, fixed)'), np.str_('(DET, ->, PRON, acl:relcl)')]",Shushpanov
