,author_id,info_gain,features,feature_stats,feature_names,author
84,84,"[np.float64(0.048931314665089376), np.float64(0.048436808934802955), np.float64(0.042998008493452367), np.float64(0.042141733987833496), np.float64(0.03972971280555837)]","[np.int64(616), np.int64(1490), np.int64(1585), np.int64(701), np.int64(140)]","[np.float64(0.011496149758440634), np.float64(0.027569592994202054), np.float64(0.002690221244496784), np.float64(0.020981422787221673), np.float64(0.003676597276373435)]","[np.str_('(PUNCT, <-, PROPN, punct)'), np.str_('(ADJ, ->, ADV, conj)'), np.str_('(NOUN, ->, ADJ, nsubj)'), np.str_('(PROPN, ->, ADP, case)'), np.str_('(ADV, <-, ADV, fixed)')]",Prokofeva
85,85,"[np.float64(0.02185494451933545), np.float64(0.020423336373478707), np.float64(0.02015080716289419), np.float64(0.019448797364139292), np.float64(0.01925875206339034)]","[np.int64(1232), np.int64(731), np.int64(619), np.int64(1589), np.int64(724)]","[np.float64(0.005326071614319585), np.float64(0.0022072960851193977), np.float64(0.013853693312534865), np.float64(0.002955011753688749), np.float64(0.0006141623291686331)]","[np.str_('(NOUN, ->, AUX, parataxis)'), np.str_('(VERB, ->, PART, nsubj)'), np.str_('(NUM, <-, PROPN, conj)'), np.str_('(PART, ->, PUNCT, punct)'), np.str_('(PART, <-, PRON, orphan)')]",Pushkin
86,86,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966505)]","[np.int64(225), np.int64(19), np.int64(111), np.int64(86), np.int64(82)]","[np.float64(0.024909921991123803), np.float64(0.020122045289660086), np.float64(0.010061022644830043), np.float64(0.005243260372072674), np.float64(0.011523812534901869)]","[np.str_('(NOUN, ->, VERB, root)'), np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(VERB, <-, PART, parataxis)'), np.str_('(NOUN, <-, VERB, nmod)'), np.str_('(PROPN, ->, SYM, conj)')]",pvlida
87,87,"[np.float64(0.0537493899331406), np.float64(0.05235738110330901), np.float64(0.04810402555959625), np.float64(0.04486054507296566), np.float64(0.04460066234620552)]","[np.int64(1268), np.int64(17), np.int64(1116), np.int64(1900), np.int64(219)]","[np.float64(0.00033367012910787006), np.float64(0.019679965497726135), np.float64(0.01710158133653516), np.float64(0.001154344144136485), np.float64(0.018739382519333492)]","[np.str_('(NOUN, ->, PROPN, iobj)'), np.str_('(PRON, ->, ADJ, orphan)'), np.str_('(VERB, <-, NOUN, xcomp)'), np.str_('(SCONJ, <-, ADP, mark)'), np.str_('(ADJ, <-, ADV, amod)')]",Regentov
88,88,"[np.float64(0.050067039823831094), np.float64(0.04909643527585572), np.float64(0.04598179709466155), np.float64(0.04457297297369123), np.float64(0.044128524650706935)]","[np.int64(83), np.int64(632), np.int64(1185), np.int64(1166), np.int64(599)]","[np.float64(0.0031033252214823065), np.float64(0.006206650442964613), np.float64(0.006206650442964613), np.float64(0.006206650442964613), np.float64(0.0031033252214823065)]","[np.str_('(PRON, ->, ADV, discourse)'), np.str_('(NOUN, ->, NOUN, nummod:gov)'), np.str_('(NOUN, ->, PART, advcl)'), np.str_('(PRON, <-, INTJ, parataxis)'), np.str_('(PRON, ->, INTJ, punct)')]",Rubina
89,89,"[np.float64(0.06903549588165547), np.float64(0.06435947470700909), np.float64(0.061019818735219), np.float64(0.06075308500823273), np.float64(0.06020236109618138)]","[np.int64(83), np.int64(39), np.int64(769), np.int64(833), np.int64(382)]","[np.float64(0.02454272458630352), np.float64(0.01258505220348038), np.float64(0.0026988192407017444), np.float64(0.001995909054712382), np.float64(0.0037893032738276163)]","[np.str_('(PRON, ->, ADV, discourse)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(PROPN, <-, NOUN, advmod)'), np.str_('(CCONJ, ->, PART, root)'), np.str_('(ADV, <-, CCONJ, orphan)')]",Rybakov
90,90,"[np.float64(0.03819077632905077), np.float64(0.03791739893042978), np.float64(0.03590554038778915), np.float64(0.03527200633079419), np.float64(0.03432639054653597)]","[np.int64(16), np.int64(417), np.int64(639), np.int64(1193), np.int64(552)]","[np.float64(0.010870547947157996), np.float64(0.009901896275841341), np.float64(0.008933244604524684), np.float64(0.008933244604524684), np.float64(0.007964592933208028)]","[np.str_('(PRON, ->, ADV, advmod)'), np.str_('(VERB, <-, DET, parataxis)'), np.str_('(NOUN, ->, PROPN, parataxis)'), np.str_('(INTJ, ->, INTJ, conj)'), np.str_('(PRON, <-, ADV, nmod)')]",Salnikov
91,91,"[np.float64(0.08916104817209525), np.float64(0.08665255797652216), np.float64(0.08357466776991918), np.float64(0.08316286376900617), np.float64(0.08225257127455532)]","[np.int64(368), np.int64(318), np.int64(797), np.int64(343), np.int64(192)]","[np.float64(0.055777345287186364), np.float64(0.006976584219363141), np.float64(0.013369127425154363), np.float64(0.001918840602309544), np.float64(0.014479707469493733)]","[np.str_('(X, <-, NOUN, nummod:gov)'), np.str_('(NOUN, <-, ADP, orphan)'), np.str_('(ADJ, ->, CCONJ, advmod)'), np.str_('(X, <-, ADJ, amod)'), np.str_('(X, ->, DET, det)')]",SaltykovSchedrin
92,92,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[np.int64(1039), np.int64(632), np.int64(799), np.int64(842), np.int64(703)]","[np.float64(0.019185209104802214), np.float64(0.007074675902280191), np.float64(0.003837041820960443), np.float64(0.003837041820960443), np.float64(0.0007958199695567174)]","[np.str_('(X, <-, ADJ, advmod)'), np.str_('(NOUN, ->, NOUN, nummod:gov)'), np.str_('(DET, <-, VERB, conj)'), np.str_('(SYM, ->, SYM, conj)'), np.str_('(NUM, ->, PROPN, nummod)')]",Semihatov
93,93,"[np.float64(0.09827238233803837), np.float64(0.08531159799375698), np.float64(0.0845762652287092), np.float64(0.08454485790101995), np.float64(0.0804863697312811)]","[np.int64(1941), np.int64(725), np.int64(1495), np.int64(227), np.int64(188)]","[np.float64(0.0015591248797899976), np.float64(0.020075489791353325), np.float64(0.002236967091703195), np.float64(0.031030147670918804), np.float64(0.06070513540469949)]","[np.str_('(VERB, ->, NUM, mark)'), np.str_('(NOUN, ->, CCONJ, punct)'), np.str_('(VERB, <-, PRON, appos)'), np.str_('(ADV, <-, DET, parataxis)'), np.str_('(VERB, <-, PROPN, cop)')]",Serafimovich
94,94,"[np.float64(0.053907155886654845), np.float64(0.0458678990932454), np.float64(0.043253357857441666), np.float64(0.04192995408620681), np.float64(0.04117414115351903)]","[np.int64(1796), np.int64(1782), np.int64(298), np.int64(1843), np.int64(1186)]","[np.float64(0.010803557921752412), np.float64(0.004104479794533612), np.float64(0.06143623922999968), np.float64(0.004918939429415892), np.float64(0.022836365564403743)]","[np.str_('(SCONJ, ->, NOUN, appos)'), np.str_('(DET, <-, ADV, nsubj)'), np.str_('(ADJ, ->, DET, advmod)'), np.str_('(VERB, ->, PRON, iobj)'), np.str_('(PROPN, <-, NOUN, advcl)')]",Sergeev-Tsenskij
95,95,"[np.float64(0.03683314302858731), np.float64(0.035805365250809684), np.float64(0.03097203191747666), np.float64(0.030714095409539843), np.float64(0.030523619219063658)]","[np.int64(701), np.int64(264), np.int64(927), np.int64(122), np.int64(302)]","[np.float64(0.10891904387834504), np.float64(0.004858303406659604), np.float64(0.006503796279480342), np.float64(0.0293962041707741), np.float64(0.013007592558960683)]","[np.str_('(PROPN, ->, ADP, case)'), np.str_('(PRON, ->, CCONJ, cc)'), np.str_('(PART, ->, ADJ, ccomp)'), np.str_('(CCONJ, ->, DET, det)'), np.str_('(PART, ->, PRON, nsubj)')]",Shevtsov
96,96,"[np.float64(0.037666476361920664), np.float64(0.03572203191747647), np.float64(0.03469425413969873), np.float64(0.033916476361920855), np.float64(0.03380536525080968)]","[np.int64(423), np.int64(1580), np.int64(1006), np.int64(823), np.int64(1209)]","[np.float64(0.00747277804101218), np.float64(0.0016818158009398385), np.float64(0.00747277804101218), np.float64(0.00747277804101218), np.float64(0.012050289650932652)]","[np.str_('(ADJ, <-, VERB, amod)'), np.str_('(VERB, ->, VERB, ccomp)'), np.str_('(X, ->, PART, advmod)'), np.str_('(PART, <-, CCONJ, parataxis)'), np.str_('(NOUN, ->, ADP, cc)')]",Shukshin
97,97,"[np.float64(0.022300966674966727), np.float64(0.022300966674966727), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.022300966674966505)]","[np.int64(480), np.int64(649), np.int64(228), np.int64(320), np.int64(299)]","[np.float64(0.013295745028350915), np.float64(0.013295745028350915), np.float64(0.009866263438630956), np.float64(0.02659149005670183), np.float64(0.013787990719694042)]","[np.str_('(DET, ->, ADJ, parataxis)'), np.str_('(ADP, ->, ADP, fixed)'), np.str_('(NUM, ->, NOUN, flat)'), np.str_('(NUM, ->, PRON, iobj)'), np.str_('(PART, <-, VERB, conj)')]",ShushpanovLouk
98,98,"[np.float64(0.031888698584143005), np.float64(0.028166476361920934), np.float64(0.027802058372502936), np.float64(0.02702891022435472), np.float64(0.022990345173074966)]","[np.int64(173), np.int64(23), np.int64(1001), np.int64(1159), np.int64(1187)]","[np.float64(0.019482044707883152), np.float64(0.013509043646676013), np.float64(0.00037194497840932445), np.float64(0.0012964236913477326), np.float64(0.011210391916884872)]","[np.str_('(VERB, ->, PAD, conj)'), np.str_('(PROPN, ->, ADV, obl)'), np.str_('(VERB, ->, SCONJ, mark)'), np.str_('(NUM, <-, VERB, obl)'), np.str_('(PROPN, <-, NOUN, obl)')]",Shushpanov
99,99,"[np.float64(0.05067190829924806), np.float64(0.04842213455705768), np.float64(0.0475458013964124), np.float64(0.0458856669972586), np.float64(0.04559770537222074)]","[np.int64(1072), np.int64(710), np.int64(1), np.int64(1145), np.int64(617)]","[np.float64(0.012677317204156905), np.float64(0.01073789045403834), np.float64(0.018060193731568832), np.float64(0.0035358276234193618), np.float64(0.006973980908775579)]","[np.str_('(VERB, ->, PAD, advmod)'), np.str_('(ADV, <-, NOUN, orphan)'), np.str_('(DET, ->, PART, cc)'), np.str_('(PRON, ->, PRON, advcl)'), np.str_('(ADJ, <-, ADV, iobj)')]",Simonov
100,100,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966727)]","[np.int64(866), np.int64(900), np.int64(189), np.int64(485), np.int64(195)]","[np.float64(0.021539353391619463), np.float64(0.01723148271329557), np.float64(0.002680416064284543), np.float64(0.01723148271329557), np.float64(0.008615741356647786)]","[np.str_('(PRON, <-, VERB, advmod)'), np.str_('(VERB, ->, ADJ, parataxis)'), np.str_('(PRON, ->, AUX, cop)'), np.str_('(PRON, <-, SCONJ, nsubj)'), np.str_('(PROPN, <-, NOUN, amod)')]",Soloviev
101,101,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[np.int64(1364), np.int64(439), np.int64(1352), np.int64(96), np.int64(1309)]","[np.float64(0.01736560072943268), np.float64(0.011577067152955119), np.float64(0.0028942667882387797), np.float64(0.0028942667882387797), np.float64(0.0006002841289670034)]","[np.str_('(PART, ->, INTJ, parataxis)'), np.str_('(ADJ, <-, ADJ, parataxis)'), np.str_('(PROPN, <-, PROPN, amod)'), np.str_('(AUX, ->, PROPN, nsubj)'), np.str_('(PRON, <-, NOUN, conj)')]",Solovyov
