,author_id,info_gain,features,feature_stats,feature_names,author
112,112,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.021327121377248237)]","[np.int64(16), np.int64(396), np.int64(1996), np.int64(97), np.int64(267)]","[np.float64(0.1425060616350434), np.float64(0.13994305211851693), np.float64(0.0018987599339876586), np.float64(0.05828454497694647), np.float64(0.014571136244236617)]","[np.str_('(PRON, ->, ADV, advmod)'), np.str_('(VERB, ->, AUX, cop)'), np.str_('(ADV, <-, PRON, case)'), np.str_('(PRON, <-, VERB, iobj)'), np.str_('(VERB, ->, NOUN, advcl)')]",VestnikRayona
113,113,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966727), np.float64(0.022300966674966727)]","[np.int64(372), np.int64(1474), np.int64(403), np.int64(1189), np.int64(1342)]","[np.float64(0.0050016418169779205), np.float64(0.00166721393899264), np.float64(0.020006567267911682), np.float64(0.0166721393899264), np.float64(0.00333442787798528)]","[np.str_('(INTJ, <-, NOUN, nmod)'), np.str_('(ADJ, <-, ADJ, acl:relcl)'), np.str_('(ADJ, <-, PRON, root)'), np.str_('(ADJ, ->, PRON, advcl)'), np.str_('(DET, <-, NOUN, nummod)')]",Vladimirova
114,114,"[np.float64(0.05220435065498552), np.float64(0.03912262277923706), np.float64(0.0360950610902292), np.float64(0.03217702685883128), np.float64(0.0312531310560028)]","[np.int64(50), np.int64(100), np.int64(112), np.int64(554), np.int64(42)]","[np.float64(0.0044285637765282574), np.float64(0.027522613250217348), np.float64(0.012219361011064302), np.float64(0.017214011504069125), np.float64(0.04074122168625666)]","[np.str_('(VERB, <-, VERB, advcl)'), np.str_('(ADJ, <-, NUM, advcl)'), np.str_('(ADJ, <-, DET, nmod)'), np.str_('(VERB, ->, PROPN, obj)'), np.str_('(PROPN, <-, ADJ, iobj)')]",Vlasova
115,115,"[np.float64(0.07484603634277764), np.float64(0.07063142348304141), np.float64(0.06364262214064653), np.float64(0.061833445738449955), np.float64(0.05661517665725313)]","[np.int64(0), np.int64(441), np.int64(607), np.int64(661), np.int64(1583)]","[np.float64(0.1032997130613046), np.float64(0.015852759098641207), np.float64(0.004608713111573079), np.float64(0.054402157917357925), np.float64(0.004198692160858551)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(ADV, ->, PART, aux)'), np.str_('(ADV, <-, PROPN, root)'), np.str_('(NOUN, <-, PRON, parataxis)'), np.str_('(CCONJ, ->, ADJ, root)')]",Voinovich
116,116,"[np.float64(0.0609120700293696), np.float64(0.051889471098624296), np.float64(0.04928668249483814), np.float64(0.04666874652347208), np.float64(0.04434599183475518)]","[np.int64(1282), np.int64(423), np.int64(1611), np.int64(1524), np.int64(216)]","[np.float64(0.0010633287108198987), np.float64(0.0026554879307224555), np.float64(0.0008079812640788693), np.float64(0.001330274432012702), np.float64(0.02380747346918038)]","[np.str_('(PART, ->, ADV, advmod)'), np.str_('(ADJ, <-, VERB, amod)'), np.str_('(PRON, ->, SCONJ, parataxis)'), np.str_('(VERB, ->, PRON, root)'), np.str_('(DET, ->, ADV, conj)')]",Volkov
117,117,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.022300966674966727), np.float64(0.022300966674966505), np.float64(0.022300966674966505)]","[np.int64(140), np.int64(396), np.int64(39), np.int64(125), np.int64(166)]","[np.float64(0.04018610197617995), np.float64(0.013395367325393316), np.float64(0.026790734650786633), np.float64(0.04445216420154501), np.float64(0.01596234074220225)]","[np.str_('(ADV, <-, ADV, fixed)'), np.str_('(VERB, ->, AUX, cop)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(PRON, ->, PRON, punct)'), np.str_('(PAD, ->, NOUN, conj)')]",Vorotyntseva
118,118,"[np.float64(0.022300966674966505), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.021327121377248237), np.float64(0.02035327607952997)]","[np.int64(19), np.int64(127), np.int64(313), np.int64(922), np.int64(417)]","[np.float64(0.1728887175956019), np.float64(0.013387651099975462), np.float64(0.00026891683230832806), np.float64(0.00017796652938159533), np.float64(0.013387651099975462)]","[np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(VERB, ->, PART, cc)'), np.str_('(NOUN, <-, NOUN, fixed)'), np.str_('(ADJ, <-, PRON, conj)'), np.str_('(VERB, <-, DET, parataxis)')]",YasenevoMedia
119,119,"[np.float64(0.10115003192923777), np.float64(0.09473770395910674), np.float64(0.09364463407920731), np.float64(0.09351294932119902), np.float64(0.0877279477293158)]","[np.int64(0), np.int64(1052), np.int64(1207), np.int64(238), np.int64(492)]","[np.float64(0.1544556455256634), np.float64(0.043228735024749304), np.float64(0.00909788357175051), np.float64(0.01950812738613683), np.float64(0.009856919594542829)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(NUM, ->, DET, det)'), np.str_('(PROPN, <-, PROPN, case)'), np.str_('(NOUN, <-, ADV, obj)'), np.str_('(DET, ->, DET, punct)')]",Zemlyanoj
120,120,"[np.float64(0.05960144914107157), np.float64(0.0491077145406873), np.float64(0.04850022428642864), np.float64(0.04501967945595953), np.float64(0.04355843180741248)]","[np.int64(605), np.int64(603), np.int64(1703), np.int64(0), np.int64(1469)]","[np.float64(6.085641068322363e-05), np.float64(6.874530137358091e-05), np.float64(0.0025147511315501444), np.float64(0.013246205086472387), np.float64(0.00022445398643991838)]","[np.str_('(VERB, ->, DET, obj)'), np.str_('(ADV, <-, VERB, advcl)'), np.str_('(VERB, <-, NOUN, ccomp)'), np.str_('(DET, ->, VERB, cop)'), np.str_('(NOUN, ->, AUX, cop)')]",Zhitkov
121,121,"[np.float64(0.04329183591884356), np.float64(0.04090052229624863), np.float64(0.04078367885722922), np.float64(0.03841488330274978), np.float64(0.037636961176526706)]","[np.int64(12), np.int64(572), np.int64(1069), np.int64(1268), np.int64(177)]","[np.float64(0.002613986426296247), np.float64(0.002613986426296247), np.float64(0.014826672254147298), np.float64(0.003471232729926431), np.float64(0.0017567401226660623)]","[np.str_('(ADJ, ->, ADP, discourse)'), np.str_('(ADV, ->, PROPN, orphan)'), np.str_('(ADJ, ->, SCONJ, obl)'), np.str_('(NOUN, ->, PROPN, iobj)'), np.str_('(ADV, ->, ADP, conj)')]",ZlotnikovNikolaev
122,122,"[np.float64(0.03501984092318755), np.float64(0.03483054805854058), np.float64(0.034296510717855444), np.float64(0.03393951416905128), np.float64(0.033771729849075616)]","[np.int64(649), np.int64(979), np.int64(1459), np.int64(572), np.int64(375)]","[np.float64(0.003072529102671515), np.float64(0.010993191458053138), np.float64(0.0017756041500385943), np.float64(0.015897060013761444), np.float64(0.00585370723113284)]","[np.str_('(ADP, ->, ADP, fixed)'), np.str_('(X, ->, PUNCT, punct)'), np.str_('(PRON, ->, NOUN, appos)'), np.str_('(ADV, ->, PROPN, orphan)'), np.str_('(VERB, <-, INTJ, parataxis)')]",Zlotnikov
123,123,"[np.float64(0.06588980996636828), np.float64(0.06498862132480887), np.float64(0.06245450221020721), np.float64(0.06028843606658618), np.float64(0.059187697464399)]","[np.int64(0), np.int64(1245), np.int64(1296), np.int64(789), np.int64(458)]","[np.float64(0.0037211462638354308), np.float64(0.002479244313772143), np.float64(0.006430012707367658), np.float64(0.02353029158239148), np.float64(0.004368796337916722)]","[np.str_('(DET, ->, VERB, cop)'), np.str_('(NUM, ->, SYM, obl)'), np.str_('(X, ->, VERB, ccomp)'), np.str_('(VERB, ->, SCONJ, root)'), np.str_('(ADV, ->, VERB, parataxis)')]",Zoschenko
