,author_id,feature_importance,features,feature_stats,feature_names,author
41,41,"[np.float64(174.94096464626696), np.float64(144.17733099709866), np.float64(139.2222837781502), np.float64(130.0888046677784), np.float64(128.9876016278097)]","[np.int64(448), np.int64(458), np.int64(174), np.int64(199), np.int64(450)]","[np.float64(0.01479266998241979), np.float64(0.022730666136003518), np.float64(0.034489454048636646), np.float64(0.03001640698338863), np.float64(0.03131655332858538)]","[np.str_('(SCONJ, ->, ADJ, obl)'), np.str_('(ADV, ->, VERB, parataxis)'), np.str_('(ADJ, ->, ADJ, iobj)'), np.str_('(PRON, ->, ADV, mark)'), np.str_('(PART, ->, INTJ, cc)')]",Furmanov
42,42,"[np.float64(135.81121274344488), np.float64(99.9862194523483), np.float64(79.0193601545313), np.float64(76.15415593103769), np.float64(71.66873259133602)]","[np.int64(423), np.int64(1076), np.int64(140), np.int64(1872), np.int64(464)]","[np.float64(0.026855949699304847), np.float64(0.011432083776251769), np.float64(0.02467446782653003), np.float64(0.005579630877284847), np.float64(0.014085488204053155)]","[np.str_('(ADJ, <-, VERB, amod)'), np.str_('(ADP, <-, PRON, advmod)'), np.str_('(ADV, <-, ADV, fixed)'), np.str_('(CCONJ, ->, VERB, parataxis)'), np.str_('(PROPN, ->, ADV, punct)')]",Gachev
43,43,"[np.float64(88.57110196844121), np.float64(83.82113664629503), np.float64(81.31153114855424), np.float64(77.17228631382899), np.float64(75.22439834599804)]","[np.int64(16), np.int64(603), np.int64(1220), np.int64(19), np.int64(627)]","[np.float64(0.04507510048846135), np.float64(0.01824138666493432), np.float64(0.0), np.float64(0.040778936909164995), np.float64(0.022537550244230674)]","[np.str_('(PRON, ->, ADV, advmod)'), np.str_('(ADV, <-, VERB, advcl)'), np.str_('(PROPN, <-, PRON, orphan)'), np.str_('(VERB, <-, ADV, parataxis)'), np.str_('(ADJ, <-, NOUN, nmod)')]",Gasymov
44,44,"[np.float64(231.55122051399317), np.float64(217.85946979198627), np.float64(207.64109320093462), np.float64(170.87662313857209), np.float64(151.31791795155993)]","[np.int64(900), np.int64(627), np.int64(463), np.int64(440), np.int64(1326)]","[np.float64(0.0080909164305549), np.float64(0.025339472554103737), np.float64(0.008354781441455645), np.float64(0.019804255400471968), np.float64(0.029769834712241844)]","[np.str_('(VERB, ->, ADJ, parataxis)'), np.str_('(ADJ, <-, NOUN, nmod)'), np.str_('(VERB, <-, PART, fixed)'), np.str_('(ADV, <-, VERB, fixed)'), np.str_('(VERB, <-, ADJ, root)')]",Gaydar
45,45,"[np.float64(67.6551801951584), np.float64(44.644529400557836), np.float64(42.063469199739615), np.float64(40.94410760125362), np.float64(38.98212941216548)]","[np.int64(998), np.int64(1360), np.int64(1564), np.int64(1083), np.int64(97)]","[np.float64(0.01661255347359357), np.float64(0.01661255347359357), np.float64(0.01661255347359357), np.float64(0.0), np.float64(0.01661255347359357)]","[np.str_('(NOUN, ->, VERB, cop)'), np.str_('(ADJ, ->, NOUN, parataxis)'), np.str_('(NOUN, ->, ADJ, amod)'), np.str_('(NOUN, ->, ADV, obl)'), np.str_('(PRON, <-, VERB, iobj)')]",GazetaRu
46,46,"[np.float64(253.78472586723424), np.float64(176.3979323114565), np.float64(153.32118729447578), np.float64(142.04692659809186), np.float64(133.99266432800883)]","[np.int64(132), np.int64(112), np.int64(793), np.int64(86), np.int64(95)]","[np.float64(0.01699684754158595), np.float64(0.1230241921742367), np.float64(0.01480937804403637), np.float64(0.006589071250268761), np.float64(0.005626924627359243)]","[np.str_('(PROPN, <-, NUM, nsubj)'), np.str_('(ADJ, <-, DET, nmod)'), np.str_('(PROPN, <-, SCONJ, nsubj)'), np.str_('(NOUN, <-, VERB, nmod)'), np.str_('(NOUN, ->, NUM, det)')]",Gelb
47,47,"[np.float64(72.74446699677695), np.float64(52.19232752622069), np.float64(49.86705230566998), np.float64(48.84747319836966), np.float64(47.60627284129582)]","[np.int64(848), np.int64(1251), np.int64(639), np.int64(803), np.int64(325)]","[np.float64(0.00830108485027499), np.float64(0.004150542425137495), np.float64(0.004150542425137495), np.float64(0.010376356062843739), np.float64(0.0020752712125687474)]","[np.str_('(NOUN, ->, SYM, nummod:entity)'), np.str_('(VERB, <-, VERB, amod)'), np.str_('(NOUN, ->, PROPN, parataxis)'), np.str_('(PART, <-, NOUN, punct)'), np.str_('(NOUN, ->, PROPN, root)')]",Gorelov
48,48,"[np.float64(166.4344004477463), np.float64(64.9030039842797), np.float64(48.6161106128739), np.float64(45.695495342241095), np.float64(36.3007461550075)]","[np.int64(35), np.int64(39), np.int64(1818), np.int64(50), np.int64(1367)]","[np.float64(0.045326108843602934), np.float64(0.011331527210900734), np.float64(0.011331527210900734), np.float64(0.0), np.float64(0.009400841649156583)]","[np.str_('(NOUN, ->, ADV, advmod)'), np.str_('(ADJ, ->, PRON, nsubj)'), np.str_('(NOUN, <-, ADJ, nsubj:pass)'), np.str_('(VERB, <-, VERB, advcl)'), np.str_('(PART, <-, DET, advmod)')]",GorVestnik
49,49,"[np.float64(251.44137295374682), np.float64(194.97255712416623), np.float64(176.67711295699542), np.float64(171.7048218720179), np.float64(150.75906998276025)]","[np.int64(33), np.int64(1147), np.int64(698), np.int64(1321), np.int64(1090)]","[np.float64(0.03801606129590115), np.float64(0.032762172532320874), np.float64(0.029672164321445007), np.float64(0.0034605040654541053), np.float64(0.006962340517419159)]","[np.str_('(NOUN, ->, VERB, amod)'), np.str_('(DET, <-, NOUN, advmod)'), np.str_('(X, ->, NOUN, appos)'), np.str_('(PROPN, ->, ADV, orphan)'), np.str_('(NOUN, <-, PROPN, fixed)')]",Granin
50,50,"[np.float64(224.63665032866865), np.float64(191.68964090880186), np.float64(172.0837635359579), np.float64(169.8898769684936), np.float64(164.897813552311)]","[np.int64(125), np.int64(1083), np.int64(1459), np.int64(615), np.int64(631)]","[np.float64(0.011854808097019375), np.float64(0.015484692436091687), np.float64(0.009340267695770541), np.float64(0.006843094492774929), np.float64(0.0334915221201885)]","[np.str_('(PRON, ->, PRON, punct)'), np.str_('(NOUN, ->, ADV, obl)'), np.str_('(PRON, ->, NOUN, appos)'), np.str_('(NOUN, ->, ADJ, acl)'), np.str_('(NUM, <-, ADV, obl)')]",Grekova
