,author_id,info_gain,features,feature_stats,author,feature_names
41,41,"[np.float64(0.06552544959243511), np.float64(0.05851157715567723), np.float64(0.05586962298999498), np.float64(0.05517838178738721), np.float64(0.054968082116549466)]","[110, 1542, 180, 2, 80]","[np.float64(0.026764781314467762), np.float64(0.0011870166523952608), np.float64(0.01892147073590818), np.float64(0.09066864445056247), np.float64(0.03027536576609872)]",Furmanov,"['(AUX, <-, PRON, obj)' '(ADJ, ->, NOUN, obl)' '(SYM, <-, AUX, cop)'
 '(PRON, <-, AUX, orphan)' '(ADJ, <-, PART, det)']"
42,42,"[np.float64(0.05039981852599518), np.float64(0.048759694922477115), np.float64(0.042046676936580596), np.float64(0.04116954806678841), np.float64(0.04019831961817322)]","[511, 0, 176, 194, 149]","[np.float64(0.010273142317760013), np.float64(0.19750506221272654), np.float64(0.033295441779021925), np.float64(0.029834112197397435), np.float64(0.035700712426328024)]",Gachev,"['(VERB, ->, PROPN, cop)' '(PROPN, ->, ADJ, advcl)'
 '(DET, <-, PRON, discourse)' '(PRON, <-, VERB, iobj)'
 '(PUNCT, ->, PRON, det)']"
43,43,"[np.float64(0.03924980969525427), np.float64(0.036083143028587394), np.float64(0.03530536525080985), np.float64(0.03069425413969873), np.float64(0.028829174774619215)]","[1, 159, 185, 168, 178]","[np.float64(0.1427262791820775), np.float64(0.020389468454582498), np.float64(0.018807148297208535), np.float64(0.020389468454582498), np.float64(0.020389468454582498)]",Gasymov,"['(X, ->, PROPN, mark)' '(NUM, ->, PUNCT, PAD)'
 '(INTJ, <-, ADV, nummod:gov)' '(NUM, <-, DET, mark)'
 '(ADP, <-, X, flat:foreign)']"
44,44,"[np.float64(0.050546747376745804), np.float64(0.04586802891819797), np.float64(0.04394186278182777), np.float64(0.043866633470718064), np.float64(0.04322997642238646)]","[197, 871, 863, 294, 117]","[np.float64(0.015057971608409538), np.float64(0.0031152511028076746), np.float64(0.0031450146102712565), np.float64(0.011341191371667867), np.float64(0.02127573282791787)]",Gaydar,"['(X, ->, ADJ, acl)' '(NOUN, <-, ADJ, nsubj)' '(NOUN, ->, ADP, PAD)'
 '(PROPN, ->, PUNCT, nsubj)' '(NUM, ->, SYM, fixed)']"
45,45,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[10, 60, 61, 100, 159]","[np.float64(0.01661255347359357), np.float64(0.06645021389437428), np.float64(0.01661255347359357), np.float64(0.01661255347359357), np.float64(0.01661255347359357)]",GazetaRu,"['(X, <-, PRON, nsubj:pass)' '(INTJ, ->, PUNCT, fixed)'
 '(PART, <-, PROPN, conj)' '(ADJ, <-, NUM, nsubj)' '(NUM, ->, PUNCT, PAD)']"
46,46,"[np.float64(0.05441340489788815), np.float64(0.0534814096137336), np.float64(0.05182798736230454), np.float64(0.04976949665020769), np.float64(0.0472924634516485)]","[466, 645, 1283, 300, 539]","[np.float64(0.004829317337991769), np.float64(0.003400546955491418), np.float64(0.00100162243630129), np.float64(0.0072693060680671315), np.float64(0.0041694096208878964)]",Gelb,"['(PROPN, ->, CCONJ, cc)' '(ADJ, ->, INTJ, flat:foreign)'
 '(SCONJ, <-, NOUN, acl:relcl)' '(AUX, <-, NOUN, root)'
 '(PUNCT, <-, PUNCT, punct)']"
47,47,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[11, 52, 107, 248, 254]","[np.float64(0.05563375433668049), np.float64(0.029053796975962463), np.float64(0.002075271212568747), np.float64(0.0021521035608558963), np.float64(0.018677440913118723)]",Gorelov,"['(AUX, ->, NOUN, ccomp)' '(SYM, ->, PROPN, conj)' '(ADV, ->, DET, fixed)'
 '(ADV, <-, NOUN, csubj)' '(ADJ, <-, DET, advmod)']"
48,48,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[0, 1, 2, 13, 14]","[np.float64(0.022663054421801467), np.float64(0.045326108843602934), np.float64(0.0339945816327022), np.float64(0.03810582873996854), np.float64(0.0679891632654044)]",GorVestnik,"['(PROPN, ->, ADJ, advcl)' '(X, ->, PROPN, mark)'
 '(PRON, <-, AUX, orphan)' '(PART, <-, NUM, parataxis)'
 '(PRON, ->, NOUN, flat:foreign)']"
49,49,"[np.float64(0.05651417448088303), np.float64(0.05350998473253665), np.float64(0.046644264637693444), np.float64(0.045473434496484555), np.float64(0.04297992659870109)]","[1453, 153, 185, 797, 102]","[np.float64(0.00079369976730064), np.float64(0.018120216634552072), np.float64(0.01632474376583387), np.float64(0.0032179910360631532), np.float64(0.02365956685694373)]",Granin,"['(ADJ, ->, PART, xcomp)' '(NOUN, ->, INTJ, obl)'
 '(INTJ, <-, ADV, nummod:gov)' '(X, <-, NUM, nsubj)'
 '(PROPN, <-, VERB, appos)']"
50,50,"[np.float64(0.06865700842156564), np.float64(0.06363545983273056), np.float64(0.06157962099646752), np.float64(0.06084178706397825), np.float64(0.05945315616440994)]","[144, 626, 951, 824, 1262]","[np.float64(0.019242769573643865), np.float64(0.005835159302775066), np.float64(0.00289911922841769), np.float64(0.003663238767892134), np.float64(0.0014974365737783276)]",Grekova,"['(PUNCT, <-, PROPN, root)' '(AUX, <-, X, flat:foreign)'
 '(VERB, <-, ADV, parataxis)' '(NOUN, <-, VERB, acl:relcl)'
 '(NUM, ->, SYM, root)']"
51,51,"[np.float64(0.07879233944372499), np.float64(0.07340521418263168), np.float64(0.07319282008880001), np.float64(0.07310892127736834), np.float64(0.07061463354046937)]","[1281, 1779, 818, 1161, 1431]","[np.float64(0.0009403683511340381), np.float64(0.0005067311905763069), np.float64(0.0021673041316153325), np.float64(0.0011795596854662672), np.float64(0.0007052676235769804)]",Grin,"['(AUX, ->, X, obl)' '(ADV, <-, PROPN, advmod)' '(ADJ, ->, ADP, xcomp)'
 '(DET, ->, PROPN, advcl)' '(INTJ, <-, SCONJ, mark)']"
52,52,"[np.float64(0.04091647636192075), np.float64(0.04091647636192075), np.float64(0.04036092080636533), np.float64(0.04036092080636533), np.float64(0.04036092080636533)]","[769, 778, 741, 914, 927]","[np.float64(0.004781252570171433), np.float64(0.004781252570171433), np.float64(0.004781252570171433), np.float64(0.004781252570171433), np.float64(0.004781252570171433)]",Gusev,"['(PROPN, ->, PUNCT, discourse)' '(PRON, ->, PROPN, advcl)'
 '(X, <-, SCONJ, obl)' '(AUX, <-, INTJ, cc)'
 '(VERB, <-, CCONJ, nummod:gov)']"
53,53,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[6, 7, 40, 75, 113]","[np.float64(0.003250938915870387), np.float64(0.003250938915870387), np.float64(0.003250938915870387), np.float64(0.003250938915870387), np.float64(0.003250938915870387)]",Gusiatnikova,"['(VERB, ->, DET, fixed)' '(VERB, <-, PAD, case)' '(ADJ, ->, ADJ, ccomp)'
 '(PROPN, <-, DET, fixed)' '(PROPN, ->, X, nsubj)']"
54,54,"[np.float64(0.07153720087781834), np.float64(0.06264983092778409), np.float64(0.06148375559307817), np.float64(0.061045324963056924), np.float64(0.05859611715819557)]","[1186, 723, 720, 593, 637]","[np.float64(0.0009118158710524697), np.float64(0.0022209566025612132), np.float64(0.0022209566025612132), np.float64(0.0028302914040842096), np.float64(0.002569319151663234)]",Hoffman,"['(PRON, ->, ADV, appos)' '(VERB, <-, VERB, det)' '(VERB, <-, ADV, nsubj)'
 '(VERB, <-, INTJ, mark)' '(CCONJ, ->, NUM, fixed)']"
55,55,"[np.float64(0.07368418556981382), np.float64(0.07350998714697676), np.float64(0.06745292099540345), np.float64(0.06335413640464738), np.float64(0.0625910117269658)]","[466, 862, 735, 831, 565]","[np.float64(0.006797099179909877), np.float64(0.003122822018350393), np.float64(0.0038828013692689197), np.float64(0.0033056391874033606), np.float64(0.0054211610885737)]",Kassil,"['(PROPN, ->, CCONJ, cc)' '(ADP, <-, ADV, case)' '(PROPN, <-, NUM, advcl)'
 '(NUM, <-, DET, det)' '(ADJ, ->, INTJ, case)']"
56,56,"[np.float64(0.07571390954882562), np.float64(0.07256858311122849), np.float64(0.07229654167210431), np.float64(0.07131914558627539), np.float64(0.06991989106040675)]","[562, 869, 1590, 668, 1070]","[np.float64(0.005403314946857516), np.float64(0.002920259523081547), np.float64(0.0008799648456464734), np.float64(0.0042670538564522804), np.float64(0.0020208480206250936)]",Kataev,"['(VERB, ->, NOUN, compound)' '(INTJ, ->, INTJ, conj)'
 '(PRON, ->, X, nsubj)' '(VERB, ->, DET, nummod:gov)'
 '(PRON, ->, INTJ, mark)']"
57,57,"[np.float64(0.09294510175492587), np.float64(0.08952948166434482), np.float64(0.08463737422601691), np.float64(0.08441041229988211), np.float64(0.08372938673912445)]","[89, 196, 393, 728, 552]","[np.float64(0.02241885384225679), np.float64(0.013847992649856727), np.float64(0.0076830275594880855), np.float64(0.003685447309897373), np.float64(0.0054408300736314644)]",Kaverin,"['(ADV, <-, NOUN, cc)' '(NOUN, <-, CCONJ, cop)'
 '(PART, ->, DET, discourse)' '(PRON, ->, INTJ, obl)'
 '(X, ->, SCONJ, obl)']"
58,58,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[10, 18, 21, 58, 65]","[np.float64(0.032405134285495546), np.float64(0.006481026857099109), np.float64(0.002658040448162367), np.float64(0.019443080571297323), np.float64(0.005376778087679908)]",Kirsanova Anodina Aksenov,"['(X, <-, PRON, nsubj:pass)' '(ADP, <-, PRON, cc)'
 '(VERB, ->, INTJ, punct)' '(NOUN, ->, ADV, nsubj)'
 '(PROPN, ->, PUNCT, flat)']"
59,59,"[np.float64(0.0342220319174763), np.float64(0.03402758747303203), np.float64(0.03269425413969884), np.float64(0.031610920806365295), np.float64(0.03141250810795271)]","[1793, 330, 143, 137, 22]","[np.float64(0.00038397837632167677), np.float64(0.009821704943851432), np.float64(0.01926658740117759), np.float64(0.019643409887702863), np.float64(0.0553498275882763)]",Knabe,"['(X, <-, AUX, conj)' '(PAD, ->, PAD, appos)' '(VERB, <-, X, parataxis)'
 '(PART, <-, VERB, obl)' '(PRON, ->, ADP, mark)']"
60,60,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[156, 237, 341, 360, 407]","[np.float64(0.0), np.float64(0.011205864180114466), np.float64(0.011205864180114466), np.float64(0.004648294653428194), np.float64(0.005543628573039831)]",Koni,"['(PART, <-, PUNCT, advmod)' '(AUX, ->, NUM, obl)' '(DET, ->, PRON, nmod)'
 '(VERB, <-, PUNCT, obl)' '(ADV, ->, AUX, nsubj)']"
61,61,"[np.float64(0.05143158291181704), np.float64(0.04583368445311453), np.float64(0.04571029428937001), np.float64(0.04246231645469967), np.float64(0.042410591572405676)]","[405, 77, 650, 1372, 493]","[np.float64(0.005529136748804782), np.float64(0.018103060927037187), np.float64(0.0031418258708781326), np.float64(0.0007537178699486531), np.float64(0.004404564423015725)]",Kozlov,"['(PROPN, ->, ADV, obj)' '(VERB, <-, CCONJ, cc)'
 '(PROPN, ->, PROPN, nsubj:pass)' '(AUX, <-, NOUN, amod)'
 '(PUNCT, ->, ADJ, acl)']"
62,62,"[np.float64(0.1232224975724534), np.float64(0.11433170643273283), np.float64(0.11025626135075206), np.float64(0.10623805025612865), np.float64(0.10579213124816955)]","[49, 267, 69, 871, 461]","[np.float64(0.02883032208708618), np.float64(0.010159982739645947), np.float64(0.025246244899679995), np.float64(0.0025629459587903493), np.float64(0.006249909767030747)]",Krapivin,"['(ADV, ->, ADP, parataxis)' '(NUM, <-, X, cc)' '(VERB, ->, X, aux)'
 '(NOUN, <-, ADJ, nsubj)' '(PROPN, ->, PROPN, PAD)']"
63,63,"[np.float64(0.10156375015792007), np.float64(0.08676901012300453), np.float64(0.08656277538869817), np.float64(0.08327513322844649), np.float64(0.08317943252922466)]","[270, 502, 971, 210, 1200]","[np.float64(0.011615287619073171), np.float64(0.006549919881235919), np.float64(0.0025482205913358188), np.float64(0.013792470425057561), np.float64(0.0017884901682137422)]",Kuprin,"['(NUM, ->, DET, orphan)' '(VERB, <-, DET, expl)'
 '(ADJ, <-, AUX, aux:pass)' '(PROPN, ->, NUM, nmod)'
 '(ADJ, <-, ADJ, orphan)']"
64,64,"[np.float64(0.050855408415860226), np.float64(0.03469687745867511), np.float64(0.033657523638015774), np.float64(0.0324914789184757), np.float64(0.03195336977266949)]","[917, 36, 802, 178, 1493]","[np.float64(0.002685907340575178), np.float64(0.03880603509654191), np.float64(0.004415527930620201), np.float64(0.01530164739289847), np.float64(7.60807475555088e-05)]",Lermontov,"['(VERB, ->, VERB, csubj)' '(PRON, <-, CCONJ, advmod)'
 '(SCONJ, <-, PRON, root)' '(ADP, <-, X, flat:foreign)'
 '(PART, <-, DET, det)']"
65,65,"[np.float64(0.12847850061489385), np.float64(0.12023287678630945), np.float64(0.11733501176777339), np.float64(0.11257818488338012), np.float64(0.11202176131111041)]","[57, 130, 43, 816, 29]","[np.float64(0.04565281104647828), np.float64(0.025521290992753756), np.float64(0.05150925365083846), np.float64(0.003910821240357952), np.float64(0.05870171998956986)]",Losev,"['(VERB, <-, PROPN, acl)' '(PART, ->, DET, nsubj)'
 '(PRON, ->, ADV, acl:relcl)' '(CCONJ, <-, ADJ, advmod)'
 '(DET, ->, SCONJ, acl:relcl)']"
66,66,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[190, 317, 368, 607, 907]","[np.float64(0.002482478349664324), np.float64(0.00018237072024464634), np.float64(0.0007746895449921512), np.float64(0.004964956699328648), np.float64(0.004964956699328648)]",Lubimova,"['(PRON, <-, PUNCT, cc)' '(ADP, <-, PUNCT, PAD)' '(AUX, ->, PROPN, fixed)'
 '(NUM, <-, VERB, discourse)' '(VERB, ->, NOUN, nummod:entity)']"
67,67,"[np.float64(0.0803841426734534), np.float64(0.07334231954484682), np.float64(0.0730526061243878), np.float64(0.07295225937523342), np.float64(0.07195218704317874)]","[401, 0, 629, 500, 177]","[np.float64(0.006755958762430255), np.float64(0.1236721024519741), np.float64(0.0038677995053113664), np.float64(0.005309558368491979), np.float64(0.013240489892528953)]",Lukyanenko,"['(X, ->, AUX, conj)' '(PROPN, ->, ADJ, advcl)' '(PROPN, <-, X, advmod)'
 '(PART, <-, ADV, orphan)' '(INTJ, ->, VERB, obl)']"
68,68,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[41, 188, 216, 388, 797]","[np.float64(0.011296644026032438), np.float64(0.0018827740043387397), np.float64(0.009885152180489352), np.float64(0.0018827740043387397), np.float64(0.032007158073758576)]",Lungu,"['(PART, ->, X, root)' '(ADP, ->, SYM, punct)' '(PROPN, <-, DET, obj)'
 '(X, ->, DET, orphan)' '(X, <-, NUM, nsubj)']"
69,69,"[np.float64(0.08357549856276036), np.float64(0.08301496178533607), np.float64(0.07191382506333843), np.float64(0.07064122441159881), np.float64(0.07058151269133073)]","[40, 405, 465, 158, 85]","[np.float64(0.058707469828533664), np.float64(0.013397584926264165), np.float64(0.011702895567523677), np.float64(0.026702134291293186), np.float64(0.040679234956765564)]",Makushinskiyi,"['(ADJ, ->, ADJ, ccomp)' '(PROPN, ->, ADV, obj)'
 '(PUNCT, ->, ADP, orphan)' '(VERB, ->, PUNCT, amod)'
 '(ADV, ->, ADV, iobj)']"
70,70,"[np.float64(0.05400690195836877), np.float64(0.05253514853154051), np.float64(0.049512408653559326), np.float64(0.048904295191868674), np.float64(0.045152611490101635)]","[693, 892, 396, 1203, 1088]","[np.float64(0.005646884689898186), np.float64(0.003883702272714809), np.float64(0.010356149545239087), np.float64(0.0025523732695593828), np.float64(0.0029460824381575246)]",Malevish,"['(NUM, <-, ADP, obl)' '(NOUN, ->, PUNCT, case)' '(VERB, ->, AUX, advmod)'
 '(PUNCT, ->, PART, acl:relcl)' '(PROPN, <-, PRON, flat:name)']"
71,71,"[np.float64(0.11114644453910116), np.float64(0.10151185134597085), np.float64(0.09883684715549068), np.float64(0.09460071526837222), np.float64(0.0937567879188832)]","[57, 32, 89, 676, 199]","[np.float64(0.03381527842461094), np.float64(0.048487973532687224), np.float64(0.02678141274381152), np.float64(0.004613997689495643), np.float64(0.01502561659160047)]",Mamin-Sibiryak,"['(VERB, <-, PROPN, acl)' '(DET, ->, ADP, advmod)' '(ADV, <-, NOUN, cc)'
 '(X, <-, X, discourse)' '(INTJ, <-, VERB, advcl)']"
72,72,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[9, 12, 17, 165, 345]","[np.float64(0.005560038830037656), np.float64(0.011120077660075311), np.float64(0.05560038830037655), np.float64(0.0023063548112942757), np.float64(0.005560038830037656)]",Mamina,"['(NOUN, ->, AUX, obl)' '(PROPN, <-, PRON, obj)'
 '(PAD, <-, CCONJ, advmod)' '(PAD, ->, NOUN, iobj)'
 '(PART, ->, PUNCT, mark)']"
73,73,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[4, 43, 373, 380, 405]","[np.float64(0.00401051981183044), np.float64(0.00401051981183044), np.float64(0.0058226006711363685), np.float64(0.00401051981183044), np.float64(0.00802103962366088)]",Marchik,"['(SCONJ, ->, INTJ, advmod)' '(PRON, ->, ADV, acl:relcl)'
 '(CCONJ, ->, ADJ, advcl)' '(VERB, <-, ADV, flat:foreign)'
 '(PROPN, ->, ADV, obj)']"
74,74,"[np.float64(0.10929190614581963), np.float64(0.10187536109038609), np.float64(0.09689154738946704), np.float64(0.09654554115762093), np.float64(0.09470704968687726)]","[1482, 78, 605, 658, 272]","[np.float64(0.0008389542696877752), np.float64(0.02665879521661898), np.float64(0.004830287393195652), np.float64(0.004291165173474265), np.float64(0.01196578572606476)]",Marinina,"['(VERB, <-, VERB, conj)' '(PART, <-, PART, mark)'
 '(NUM, <-, ADV, nummod:gov)' '(ADV, ->, PART, advcl)'
 '(NOUN, <-, X, advmod)']"
75,75,"[np.float64(0.05091647636192076), np.float64(0.04005536525080966), np.float64(0.0325553652508096), np.float64(0.028736582182026793), np.float64(0.02580921325465768)]","[558, 462, 616, 334, 590]","[np.float64(0.0015096491896674003), np.float64(0.0033604738750175984), np.float64(7.785778991652414e-05), np.float64(0.012448034494813343), np.float64(0.0005240512811599712)]",Mikhalkov,"['(VERB, <-, PRON, obl)' '(NOUN, <-, NOUN, flat)' '(PROPN, <-, X, conj)'
 '(INTJ, ->, X, nummod)' '(NOUN, <-, AUX, root)']"
76,76,"[np.float64(0.06868892514397051), np.float64(0.056239470804282155), np.float64(0.0532537812188445), np.float64(0.05239421929702581), np.float64(0.047466086380793526)]","[186, 693, 71, 80, 358]","[np.float64(0.017814229056987322), np.float64(0.006150818336659136), np.float64(0.030227300648791443), np.float64(0.029193708980693713), np.float64(0.011133972798541305)]",Moshkov,"['(NUM, ->, ADJ, acl:relcl)' '(NUM, <-, ADP, obl)'
 '(PROPN, <-, PAD, parataxis)' '(ADJ, <-, PART, det)'
 '(ADV, <-, ADP, advmod)']"
77,77,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[42, 50, 134, 140, 169]","[np.float64(0.003248960452109804), np.float64(0.033177676387662246), np.float64(0.033177676387662246), np.float64(0.016588838193831123), np.float64(0.016588838193831123)]",NakedScience,"['(X, <-, ADV, fixed)' '(PROPN, <-, CCONJ, case)' '(PRON, ->, VERB, det)'
 '(NUM, <-, DET, obl)' '(VERB, <-, ADV, cc)']"
78,78,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[3, 25, 27, 37, 127]","[np.float64(0.12328041269918381), np.float64(0.05581947262747708), np.float64(0.005209031522500725), np.float64(0.0017363438408335746), np.float64(0.0017363438408335746)]",nlobooks[ru],"['(X, <-, PROPN, flat)' '(AUX, <-, PART, cc)' '(VERB, <-, CCONJ, punct)'
 '(ADV, ->, CCONJ, fixed)' '(PART, <-, NOUN, obj)']"
79,79,"[np.float64(0.05771131603893487), np.float64(0.057179063962579435), np.float64(0.05629772840787606), np.float64(0.05528251070340906), np.float64(0.05232357306554292)]","[1365, 800, 7, 450, 1360]","[np.float64(0.00012799673191030513), np.float64(0.002510359492542154), np.float64(0.060858626345597355), np.float64(0.005330840094303669), np.float64(0.00018717205492169034)]",Nosov,"['(PRON, <-, PROPN, mark)' '(PROPN, ->, PART, orphan)'
 '(VERB, <-, PAD, case)' '(PROPN, <-, VERB, fixed)'
 '(INTJ, <-, PART, punct)']"
80,80,"[np.float64(0.06480233357081178), np.float64(0.06055385477787678), np.float64(0.059803171621108486), np.float64(0.05864989470693016), np.float64(0.05693570389840641)]","[1338, 636, 1907, 976, 96]","[np.float64(0.0010666152586348617), np.float64(0.0037102026746961814), np.float64(0.00043514755452886454), np.float64(0.0019353969256813688), np.float64(0.019522014345643292)]",Oseeva,"['(NOUN, <-, PUNCT, nsubj)' '(PROPN, <-, ADV, nsubj)'
 '(PROPN, ->, PART, mark)' '(ADV, <-, NOUN, advcl)'
 '(ADP, ->, ADV, appos)']"
81,81,"[np.float64(0.03822203191747642), np.float64(0.03381991551536012), np.float64(0.03138869858414295), np.float64(0.03138550465829815), np.float64(0.030440285885730334)]","[661, 17, 641, 2, 660]","[np.float64(1.2047778930218921e-05), np.float64(0.04663681193653321), np.float64(0.000204243710115669), np.float64(0.07518848914478578), np.float64(1.2705251159250642e-05)]",Oster,"['(NUM, <-, PUNCT, advmod)' '(PAD, <-, CCONJ, advmod)'
 '(PUNCT, <-, ADV, advmod)' '(PRON, <-, AUX, orphan)'
 '(X, <-, PROPN, cop)']"
82,82,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[167, 275, 300, 317, 368]","[np.float64(0.0006006783591093139), np.float64(0.006370877826084816), np.float64(0.006370877826084816), np.float64(0.006370877826084816), np.float64(0.00040791585939492606)]",Plevako,"['(X, <-, CCONJ, advmod)' '(X, <-, PRON, nmod)' '(AUX, <-, NOUN, root)'
 '(ADP, <-, PUNCT, PAD)' '(AUX, ->, PROPN, fixed)']"
83,83,"[np.float64(0.053266434481814784), np.float64(0.051012842163757455), np.float64(0.050277027743207525), np.float64(0.04931136408156178), np.float64(0.04649139888618137)]","[29, 77, 253, 105, 238]","[np.float64(0.04531119485741261), np.float64(0.028140646309173834), np.float64(0.013451159794839178), np.float64(0.02456270596206411), np.float64(0.014505294076119994)]",Preobrazhensky,"['(DET, ->, SCONJ, acl:relcl)' '(VERB, <-, CCONJ, cc)'
 '(PRON, <-, VERB, aux:pass)' '(DET, ->, NUM, obl)'
 '(SYM, <-, DET, nsubj)']"
84,84,"[np.float64(0.048931314665089376), np.float64(0.048436808934802955), np.float64(0.046380202458783826), np.float64(0.04630327489636432), np.float64(0.042998008493452367)]","[226, 54, 1414, 1403, 812]","[np.float64(0.011496149758440634), np.float64(0.027569592994202054), np.float64(0.0012090932194788952), np.float64(0.0013835000260075737), np.float64(0.002690221244496784)]",Prokofeva,"['(PROPN, <-, PART, flat)' '(VERB, <-, INTJ, nsubj)'
 '(PART, ->, INTJ, nummod:gov)' '(NOUN, <-, ADJ, parataxis)'
 '(ADP, ->, ADV, punct)']"
85,85,"[np.float64(0.03822203191747642), np.float64(0.03730536525080974), np.float64(0.03544425413969854), np.float64(0.03338869858414295), np.float64(0.03305536525080999)]","[188, 20, 337, 4, 68]","[np.float64(0.013853693312534865), np.float64(0.05538418810504756), np.float64(0.00932766477186268), np.float64(0.08553265215949166), np.float64(0.02770738662506973)]",Pushkin,"['(ADP, ->, SYM, punct)' '(PRON, ->, NOUN, csubj)' '(ADV, ->, ADJ, nmod)'
 '(SCONJ, ->, INTJ, advmod)' '(NUM, ->, ADJ, root)']"
86,86,"[np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994), np.float64(0.023274811972684994)]","[0, 4, 5, 11, 12]","[np.float64(0.00012472143154386052), np.float64(0.000574277395256342), np.float64(0.03018306793449014), np.float64(0.010061022644830043), np.float64(0.010061022644830043)]",pvlida,"['(PROPN, ->, ADJ, advcl)' '(SCONJ, ->, INTJ, advmod)'
 '(PAD, <-, NUM, amod)' '(AUX, ->, NOUN, ccomp)' '(PROPN, <-, PRON, obj)']"
87,87,"[np.float64(0.06538802943013922), np.float64(0.054261876519929086), np.float64(0.05416398363131647), np.float64(0.05249679775781324), np.float64(0.05235738110330901)]","[1771, 80, 1748, 0, 86]","[np.float64(0.00011476804875352292), np.float64(0.02119926983326746), np.float64(0.00033367012910787006), np.float64(0.11651868026288226), np.float64(0.019679965497726135)]",Regentov,"['(PRON, ->, PART, flat)' '(ADJ, <-, PART, det)' '(DET, <-, PUNCT, case)'
 '(PROPN, ->, ADJ, advcl)' '(VERB, ->, PART, case)']"
88,88,"[np.float64(0.04909643527585572), np.float64(0.04784851514274402), np.float64(0.04772636423024379), np.float64(0.04745631167233777), np.float64(0.047393585528080595)]","[570, 935, 941, 947, 919]","[np.float64(0.006206650442964613), np.float64(0.0031033252214823065), np.float64(0.0031033252214823065), np.float64(0.0031033252214823065), np.float64(0.0031033252214823065)]",Rubina,"['(VERB, ->, NUM, amod)' '(NOUN, <-, INTJ, det)' '(VERB, ->, SYM, mark)'
 '(VERB, <-, ADJ, root)' '(ADJ, ->, AUX, csubj)']"
89,89,"[np.float64(0.08069929919154739), np.float64(0.07883486719842026), np.float64(0.07376924691465458), np.float64(0.07246144210580518), np.float64(0.06903549588165547)]","[1439, 387, 1601, 482, 66]","[np.float64(0.0010406559717593953), np.float64(0.007923084927820512), np.float64(0.0008140524707019041), np.float64(0.006234491658501377), np.float64(0.02454272458630352)]",Rybakov,"['(NUM, ->, INTJ, punct)' '(NUM, ->, VERB, orphan)'
 '(VERB, ->, VERB, iobj)' '(DET, ->, DET, flat:name)'
 '(NUM, <-, PUNCT, nummod:gov)']"
90,90,"[np.float64(0.04776333964159518), np.float64(0.041655673966541906), np.float64(0.040726209642734656), np.float64(0.03955822133018283), np.float64(0.03929011107685232)]","[345, 351, 344, 97, 352]","[np.float64(0.008933244604524685), np.float64(0.008933244604524685), np.float64(0.008933244604524685), np.float64(0.025831082142257395), np.float64(0.008933244604524685)]",Salnikov,"['(PART, ->, PUNCT, mark)' '(NOUN, ->, VERB, nsubj)'
 '(NOUN, <-, VERB, acl)' '(PUNCT, ->, VERB, nmod)'
 '(PRON, ->, PUNCT, obl)']"
91,91,"[np.float64(0.08916104817209525), np.float64(0.08665255797652216), np.float64(0.08357466776991918), np.float64(0.08316286376900617), np.float64(0.08225257127455532)]","[28, 656, 337, 1452, 305]","[np.float64(0.05577734528718635), np.float64(0.006976584219363141), np.float64(0.013369127425154365), np.float64(0.001918840602309544), np.float64(0.014479707469493732)]",SaltykovSchedrin,"['(X, <-, NUM, root)' '(ADJ, ->, INTJ, flat)' '(ADV, ->, ADJ, nmod)'
 '(ADP, ->, DET, nsubj)' '(CCONJ, ->, NOUN, fixed)']"
